transformer_id,bus0,bus1,voltage_bus0,voltage_bus1,s_nom,geometry,center_lat,center_lon,csgm_full_name,csgm_eic_code,csgm_tso,n_parallel,s_nom_csgm,reactance_x_csgm,match_distance_km,fuzzy_score,match_quality,s_nom_ml,reactance_x_ml,s_nom_baseline,s_nom_estimated,s_nom_source,reactance_x_estimated,reactance_x_source
t15585,4039,4040,220.0,380.0,2000.0,"LINESTRING(3.72848500000001 47.878592, 3.72848500000001 47.878592)",47.878592,3.72848500000001,TR 400/225kV 761 SEREIN | TR 400/225kV 762 SEREIN,17T000000015581P | 17T0000000156026,RTE,2,2498.4,21.35,47.16,50.0,poor,1219.039048375584,18.7658592548156,1494.45,1219.039048375584,ml_predicted,18.7658592548156,ml_predicted
t15586,4050,4051,220.0,380.0,2000.0,"LINESTRING(4.95346099999999 48.802341, 4.95346099999999 48.802341)",48.802341,4.95346099999999,,,,0,,,,,unmatched,548.7225669780909,19.00949552421361,1494.45,548.7225669780909,ml_predicted,19.00949552421361,ml_predicted
t15587,4059,4060,220.0,380.0,2000.0,"LINESTRING(4.66918899999999 47.322069, 4.66918899999999 47.322069)",47.322069,4.66918899999999,TR 400/225kV 761 MARMAGNE,17T0000000151822,RTE,1,1249.2,45.87,40.26,50.0,poor,498.01482433532084,22.171182488993693,1494.45,498.01482433532084,ml_predicted,22.171182488993693,ml_predicted
t15588,4067,4068,220.0,380.0,2000.0,"LINESTRING(3.392029 46.9437, 3.392029 46.9437)",46.9437,3.392029,TR 400/225kV 761 GAUDIERE (LA) | TR 400/225kV 762 GAUDIERE (LA),17T000000014850T | 17T000000014851R,RTE,2,1888.6,27.143,39.18,50.0,poor,1162.7826601940687,25.270139596306535,1494.45,1162.7826601940687,ml_predicted,25.270139596306535,ml_predicted
t15589,4072,4073,220.0,380.0,2000.0,"LINESTRING(3.27941899999999 46.2492, 3.27941899999999 46.2492)",46.2492,3.27941899999999,TR 400/225kV 761 BAYET | TR 400/225kV 762 BAYET | TR 400/225kV 763 BAYET,17T000000014547U | 17T000000014548S | 17T000000014549Q,RTE,3,1906.7,23.455,0.84,50.0,good,874.2278834227984,19.849195173346015,1494.45,1906.7,csgm,23.455,csgm
t15590,4078,4079,220.0,380.0,2000.0,"LINESTRING(3.26293899999999 45.799127, 3.26293899999999 45.799127)",45.799127,3.26293899999999,,,,0,,,,,unmatched,464.96234217787094,32.261142094263576,1494.45,464.96234217787094,ml_predicted,32.261142094263576,ml_predicted
t15591,4093,4094,220.0,380.0,2000.0,"LINESTRING(4.497528 46.672056, 4.497528 46.672056)",46.672056,4.497528,,,,0,,,,,unmatched,812.0988205187748,21.86872208865097,1494.45,812.0988205187748,ml_predicted,21.86872208865097,ml_predicted
t15592,4096,4097,220.0,380.0,2000.0,"LINESTRING(4.762573 46.582462, 4.762573 46.582462)",46.582462,4.762573,,,,0,,,,,unmatched,957.6876289333574,19.302228335318098,1494.45,957.6876289333574,ml_predicted,19.302228335318098,ml_predicted
t15593,4107,4108,220.0,380.0,2000.0,"LINESTRING(4.670563 45.795297, 4.670563 45.795297)",45.795297,4.670563,,,,0,,,,,unmatched,1089.7947078030397,21.511532469165395,1494.45,1089.7947078030397,ml_predicted,21.511532469165395,ml_predicted
t15594,4119,4120,220.0,380.0,2000.0,"LINESTRING(4.717255 45.470725, 4.717255 45.470725)",45.470725,4.717255,TR 400/225kV 761 ECHALAS | TR 400/225kV 762 ECHALAS,17T000000014734V | 17T000000014735T,RTE,2,2498.4,22.021,9.04,50.0,good,881.0806660981907,25.260999204110263,1494.45,2498.4,csgm,22.021,csgm
t15595,4124,4125,220.0,380.0,2000.0,"LINESTRING(5.005646 45.827842, 5.005646 45.827842)",45.827842,5.005646,TR 400/225kV 761 BOISSE (LA) | TR 400/225kV 762 BOISSE (LA),17T000000014572V | 17T000000014573T,RTE,2,2498.4,20.529,2.61,50.0,good,1550.8374964877687,17.987391071731913,1494.45,2498.4,csgm,20.529,csgm
t15596,4127,4128,220.0,380.0,2000.0,"LINESTRING(4.98779299999999 45.631326, 4.98779299999999 45.631326)",45.631326,4.98779299999999,TR 400/225kV 761 MIONS | TR 400/225kV 762 MIONS | TR 400/225kV 763 MIONS | TR 400/225kV 761 CHARPENAY | TR 400/225kV 762 CHARPENAY,17T000000015225A | 17T0000000152268 | 17T0000000152276 | 17T000000014626Y | 17T000000014627W,RTE,5,5023.8,10.229,4.34,50.0,good,4190.680763421564,15.026460357824512,1494.45,5023.8,csgm,10.229,csgm
t15597,4130,4131,220.0,380.0,2000.0,"LINESTRING(5.30502299999999 45.841238, 5.30502299999999 45.841238)",45.841238,5.30502299999999,TR 400/225kV 765 ST-ELOI | TR 400/225kV 766 ST-ELOI,17T000000015659E | 17T000000015660T,RTE,2,1173.6,34.2,15.47,50.0,fair,518.540002536804,30.13107555868517,1494.45,1173.6,csgm,34.2,csgm
t15598,4132,4133,220.0,380.0,2000.0,"LINESTRING(5.30365000000001 45.77806, 5.30365000000001 45.77806)",45.77806,5.30365000000001,,,,0,,,,,unmatched,1154.8359544183782,18.74717414793131,1494.45,1154.8359544183782,ml_predicted,18.74717414793131,ml_predicted
t15599,4141,4142,220.0,380.0,2000.0,"LINESTRING(-4.09789999999999 48.461995, -4.09789999999999 48.461995)",48.461995,-4.09789999999999,TR 400/225kV 761 MARTYRE (LA) | TR 400/225kV 762 MARTYRE (LA),17T0000000151911 | 17T000000015193Y,RTE,2,2498.4,22.95,4.68,50.0,good,1937.6783121412866,17.566848806047208,1494.45,2498.4,csgm,22.95,csgm
t15600,4149,4150,220.0,380.0,2000.0,"LINESTRING(-3.271179 47.931066, -3.271179 47.931066)",47.931066,-3.271179,TR 400/225kV 761 CALAN,17T000000016006H,RTE,1,1249.2,45.95,7.25,50.0,good,644.018007636973,26.202443577604484,1494.45,1249.2,csgm,45.95,csgm
